date|useribpt|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
07/31/2019|686187|130881|500603|0|0|8484|0|0|0|18151|304394|34765|0|0|0|630085331021.00|0.00|7644644958633.00|11661310152305.00|12693884073244.00|997278|32629924515203.00|0|0|JUL2019|2019-07
08/01/2019|686663|120847|613527|0|0|6770|0|0|0|16283|272221|30644|0|0|0|180216838730.00|0.00|6536349717636.00|10277419876195.00|8694485593987.00|1060292|25688472026548.00|0|0|AUG2019|2019-08
08/02/2019|687125|118927|421654|0|0|8184|0|0|0|15426|243483|32900|0|0|0|212312536767.00|0.00|6600782388747.00|10574227515665.00|10088357467772.00|840574|27475679908951.00|0|0|AUG2019|2019-08
08/03/2019|687121|38776|144817|0|0|2233|0|0|0|3465|100063|0|0|0|0|31009313366.00|0.00|444108018592.00|2109489442190.00|0.00|289354|2584606774148.00|0|0|AUG2019|2019-08
08/04/2019|687118|11376|41750|0|0|600|0|0|0|1019|24452|0|0|0|0|1845321803.00|0.00|289322525399.00|765398083505.00|0.00|79197|1056565930707.00|0|0|AUG2019|2019-08
08/05/2019|687593|118271|441827|0|0|15174|0|0|0|16222|225495|31555|0|0|0|296450629372.00|0.00|8647479570617.00|10709453681607.00|12347846480384.00|848544|32001230361980.00|0|0|AUG2019|2019-08
08/06/2019|688065|114074|424711|0|0|18670|0|0|0|16315|214946|30246|0|0|0|327912563415.00|0.00|7003269804770.00|10954013506838.00|10047883269630.00|818962|28333079144653.00|0|0|AUG2019|2019-08
08/07/2019|688448|109342|393613|0|0|23176|0|0|0|15443|199220|28651|0|0|0|428374566834.00|0.00|7204350941694.00|10389880948914.00|9148832557772.00|769445|27171439015214.00|0|0|AUG2019|2019-08
08/08/2019|688884|110895|390917|0|0|31484|0|0|0|15290|204380|29124|0|0|0|680496045540.00|0.00|6614402261062.00|10016292133566.00|9057650443529.00|782090|26368840883697.00|0|0|AUG2019|2019-08
08/09/2019|689317|121028|416765|0|0|46666|0|0|0|16353|243533|35622|0|0|0|1004390615803.00|0.00|7258436143622.00|10490472372662.00|11158753470104.00|879967|29912052602191.00|0|0|AUG2019|2019-08
08/10/2019|689323|38247|151898|0|0|7382|0|0|0|3340|99652|0|0|0|0|52369731641.00|0.00|281022411019.00|2108694617855.00|0.00|300519|2442086760515.00|0|0|AUG2019|2019-08
08/11/2019|689340|11418|46397|0|0|1066|0|0|0|1026|23920|0|0|0|0|6930327731.00|0.00|216847307943.00|629117790325.00|0.00|83827|852895425999.00|0|0|AUG2019|2019-08
08/12/2019|689859|118514|468743|0|0|22254|0|0|0|16453|200758|33256|0|0|0|472043477497.00|0.00|8461098506032.00|10593134560014.00|11108964013736.00|859978|30635240557279.00|0|0|AUG2019|2019-08
08/13/2019|690297|108903|431131|0|0|14103|0|0|0|15288|197130|29042|0|0|0|351398303920.00|0.00|6914145230320.00|10546021814181.00|9577873878847.00|795597|27389439227268.00|0|0|AUG2019|2019-08
08/14/2019|690764|105903|401103|0|0|15395|0|0|0|14618|189727|27599|0|0|0|398545660524.00|0.00|6788775933886.00|9603170399129.00|8255764278787.00|754345|25046256272326.00|0|0|AUG2019|2019-08
08/15/2019|691260|109690|403312|0|0|20225|0|0|0|15321|220080|32049|0|0|0|522530080692.00|0.00|6272088233535.00|10444156606520.00|8514634326139.00|800677|25753409246886.00|0|0|AUG2019|2019-08
08/16/2019|691786|112555|412189|0|0|14933|0|0|0|15453|242079|34542|0|0|0|301201623669.00|0.00|6868036032214.00|11135970309921.00|10535101147492.00|831751|28840309113296.00|0|0|AUG2019|2019-08
