jnstrans|date|txn|idr|bln|mth
PLUS - INTERNATIONAL|04/30/2019|2514|3176000000|APR2019|2019-04
CIRRUS MASTER NON ISIS|04/30/2019|3062|3860700000|APR2019|2019-04
CIRRUS MASTER ISIS|04/30/2019|461|535900000|APR2019|2019-04
VISA - LOCAL|05/01/2019|40|49100000|MAY2019|2019-05
VISA - INTERNATIONAL|05/01/2019|1810|2016800000|MAY2019|2019-05
PLUS - LOCAL|05/01/2019|140|151900000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/01/2019|2957|3492950000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/01/2019|2956|3674650000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/01/2019|470|525650000|MAY2019|2019-05
VISA - LOCAL|05/02/2019|48|44350000|MAY2019|2019-05
VISA - INTERNATIONAL|05/02/2019|1622|1880300000|MAY2019|2019-05
PLUS - LOCAL|05/02/2019|177|180500000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/02/2019|3029|3632850000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/02/2019|5962|7400900000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/02/2019|968|1106100000|MAY2019|2019-05
VISA - LOCAL|05/03/2019|48|52300000|MAY2019|2019-05
VISA - INTERNATIONAL|05/03/2019|1650|1953550000|MAY2019|2019-05
PLUS - LOCAL|05/03/2019|171|189100000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/03/2019|2807|3492450000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/03/2019|2977|3578100000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/03/2019|484|597350000|MAY2019|2019-05
VISA - LOCAL|05/04/2019|49|44850000|MAY2019|2019-05
VISA - INTERNATIONAL|05/04/2019|1696|1915800000|MAY2019|2019-05
PLUS - LOCAL|05/04/2019|188|204350000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/04/2019|2747|3154950000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/04/2019|2705|3208650000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/04/2019|471|493700000|MAY2019|2019-05
VISA - LOCAL|05/05/2019|45|35200000|MAY2019|2019-05
VISA - INTERNATIONAL|05/05/2019|1470|1563400000|MAY2019|2019-05
PLUS - LOCAL|05/05/2019|169|154150000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/05/2019|2515|2877850000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/05/2019|2447|2695800000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/05/2019|428|414700000|MAY2019|2019-05
VISA - LOCAL|05/06/2019|62|72000000|MAY2019|2019-05
VISA - INTERNATIONAL|05/06/2019|1513|1700650000|MAY2019|2019-05
PLUS - LOCAL|05/06/2019|193|201250000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/06/2019|2595|3099000000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/06/2019|7759|9157700000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/06/2019|1377|1435100000|MAY2019|2019-05
VISA - LOCAL|05/07/2019|51|56200000|MAY2019|2019-05
VISA - INTERNATIONAL|05/07/2019|1581|1780850000|MAY2019|2019-05
PLUS - LOCAL|05/07/2019|201|203300000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/07/2019|2544|3130250000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/07/2019|2657|3152350000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/07/2019|510|578950000|MAY2019|2019-05
VISA - LOCAL|05/08/2019|49|57250000|MAY2019|2019-05
VISA - INTERNATIONAL|05/08/2019|1634|1790200000|MAY2019|2019-05
PLUS - LOCAL|05/08/2019|193|226750000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/08/2019|2486|3000150000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/08/2019|2602|3272600000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/08/2019|449|484700000|MAY2019|2019-05
VISA - LOCAL|05/09/2019|40|41300000|MAY2019|2019-05
VISA - INTERNATIONAL|05/09/2019|1645|1876900000|MAY2019|2019-05
PLUS - LOCAL|05/09/2019|180|193600000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/09/2019|2535|3111900000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/09/2019|2706|3316000000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/09/2019|479|517000000|MAY2019|2019-05
VISA - LOCAL|05/10/2019|51|54250000|MAY2019|2019-05
VISA - INTERNATIONAL|05/10/2019|1729|2074550000|MAY2019|2019-05
PLUS - LOCAL|05/10/2019|195|220650000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/10/2019|2791|3414750000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/10/2019|2602|3190450000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/10/2019|554|592100000|MAY2019|2019-05
VISA - LOCAL|05/11/2019|60|64600000|MAY2019|2019-05
VISA - INTERNATIONAL|05/11/2019|1910|2535050000|MAY2019|2019-05
PLUS - LOCAL|05/11/2019|216|188900000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/11/2019|2791|3159000000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/11/2019|2505|2985100000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/11/2019|575|574850000|MAY2019|2019-05
VISA - LOCAL|05/12/2019|38|31900000|MAY2019|2019-05
VISA - INTERNATIONAL|05/12/2019|1666|1858850000|MAY2019|2019-05
PLUS - LOCAL|05/12/2019|157|144350000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/12/2019|2716|2974200000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/12/2019|2224|2420400000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/12/2019|475|452700000|MAY2019|2019-05
VISA - LOCAL|05/13/2019|67|91300000|MAY2019|2019-05
VISA - INTERNATIONAL|05/13/2019|1709|2166700000|MAY2019|2019-05
PLUS - LOCAL|05/13/2019|195|192350000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/13/2019|2882|3412800000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/13/2019|7212|8371150000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/13/2019|1632|1638500000|MAY2019|2019-05
VISA - LOCAL|05/14/2019|70|78850000|MAY2019|2019-05
VISA - INTERNATIONAL|05/14/2019|1724|2013850000|MAY2019|2019-05
PLUS - LOCAL|05/14/2019|167|152000000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/14/2019|2637|3088050000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/14/2019|2495|3128500000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/14/2019|521|513550000|MAY2019|2019-05
VISA - LOCAL|05/15/2019|48|46400000|MAY2019|2019-05
VISA - INTERNATIONAL|05/15/2019|1604|1863250000|MAY2019|2019-05
PLUS - LOCAL|05/15/2019|174|185750000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/15/2019|2658|3118800000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/15/2019|2539|3044900000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/15/2019|459|441150000|MAY2019|2019-05
VISA - LOCAL|05/16/2019|48|43050000|MAY2019|2019-05
VISA - INTERNATIONAL|05/16/2019|1644|1887800000|MAY2019|2019-05
PLUS - LOCAL|05/16/2019|151|136300000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/16/2019|2643|3074300000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/16/2019|2607|3187750000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/16/2019|493|497050000|MAY2019|2019-05
VISA - LOCAL|05/17/2019|61|58100000|MAY2019|2019-05
VISA - INTERNATIONAL|05/17/2019|1586|1885750000|MAY2019|2019-05
PLUS - LOCAL|05/17/2019|173|156600000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/17/2019|2688|3115400000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/17/2019|2658|3123800000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/17/2019|513|494300000|MAY2019|2019-05
VISA - LOCAL|05/18/2019|52|53400000|MAY2019|2019-05
VISA - INTERNATIONAL|05/18/2019|1498|1629850000|MAY2019|2019-05
PLUS - LOCAL|05/18/2019|191|186900000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/18/2019|2724|2963350000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/18/2019|2700|3007750000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/18/2019|557|543200000|MAY2019|2019-05
VISA - LOCAL|05/19/2019|47|36650000|MAY2019|2019-05
VISA - INTERNATIONAL|05/19/2019|1345|1438000000|MAY2019|2019-05
PLUS - LOCAL|05/19/2019|168|148600000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/19/2019|2467|2412300000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/19/2019|2284|2491000000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/19/2019|473|419250000|MAY2019|2019-05
VISA - LOCAL|05/20/2019|51|54900000|MAY2019|2019-05
VISA - INTERNATIONAL|05/20/2019|1577|1731400000|MAY2019|2019-05
PLUS - LOCAL|05/20/2019|214|218350000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/20/2019|2791|3274850000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/20/2019|7621|8616900000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/20/2019|1481|1407500000|MAY2019|2019-05
VISA - LOCAL|05/21/2019|50|55250000|MAY2019|2019-05
VISA - INTERNATIONAL|05/21/2019|1647|1903650000|MAY2019|2019-05
PLUS - LOCAL|05/21/2019|153|142650000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/21/2019|2466|2826450000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/21/2019|2572|3073550000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/21/2019|443|434450000|MAY2019|2019-05
VISA - LOCAL|05/22/2019|45|57750000|MAY2019|2019-05
VISA - INTERNATIONAL|05/22/2019|1491|1643950000|MAY2019|2019-05
PLUS - LOCAL|05/22/2019|110|96650000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/22/2019|2257|2632650000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/22/2019|2686|3294150000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/22/2019|307|321900000|MAY2019|2019-05
VISA - LOCAL|05/23/2019|38|36700000|MAY2019|2019-05
VISA - INTERNATIONAL|05/23/2019|1536|1748250000|MAY2019|2019-05
PLUS - LOCAL|05/23/2019|105|97850000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/23/2019|2285|2883250000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/23/2019|2827|3515800000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/23/2019|302|284150000|MAY2019|2019-05
VISA - LOCAL|05/24/2019|41|54750000|MAY2019|2019-05
VISA - INTERNATIONAL|05/24/2019|1689|1917950000|MAY2019|2019-05
PLUS - LOCAL|05/24/2019|116|125300000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/24/2019|2364|2985700000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/24/2019|2857|3641900000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/24/2019|398|476400000|MAY2019|2019-05
VISA - LOCAL|05/25/2019|52|58500000|MAY2019|2019-05
VISA - INTERNATIONAL|05/25/2019|1625|1804850000|MAY2019|2019-05
PLUS - LOCAL|05/25/2019|97|102450000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/25/2019|2295|2715850000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/25/2019|2795|3308400000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/25/2019|303|326100000|MAY2019|2019-05
VISA - LOCAL|05/26/2019|34|30750000|MAY2019|2019-05
VISA - INTERNATIONAL|05/26/2019|1465|1558450000|MAY2019|2019-05
PLUS - LOCAL|05/26/2019|130|134050000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/26/2019|2156|2558300000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/26/2019|2391|2720050000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/26/2019|308|340450000|MAY2019|2019-05
VISA - LOCAL|05/27/2019|44|60900000|MAY2019|2019-05
VISA - INTERNATIONAL|05/27/2019|1495|1735800000|MAY2019|2019-05
PLUS - LOCAL|05/27/2019|115|119850000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/27/2019|2294|2962100000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/27/2019|7661|9222650000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/27/2019|989|1114500000|MAY2019|2019-05
VISA - LOCAL|05/28/2019|49|56250000|MAY2019|2019-05
VISA - INTERNATIONAL|05/28/2019|1539|1748900000|MAY2019|2019-05
PLUS - LOCAL|05/28/2019|105|136300000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/28/2019|2438|3137300000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/28/2019|2645|3359450000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/28/2019|419|521700000|MAY2019|2019-05
VISA - LOCAL|05/29/2019|47|56400000|MAY2019|2019-05
VISA - INTERNATIONAL|05/29/2019|1545|1777250000|MAY2019|2019-05
PLUS - LOCAL|05/29/2019|111|134450000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/29/2019|2228|2910650000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/29/2019|2798|3651950000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/29/2019|421|518050000|MAY2019|2019-05
VISA - LOCAL|05/30/2019|41|51450000|MAY2019|2019-05
VISA - INTERNATIONAL|05/30/2019|1556|1791350000|MAY2019|2019-05
PLUS - LOCAL|05/30/2019|148|186400000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/30/2019|2209|2738150000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/30/2019|2463|3056700000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/30/2019|374|443300000|MAY2019|2019-05
VISA - LOCAL|05/31/2019|52|68750000|MAY2019|2019-05
VISA - INTERNATIONAL|05/31/2019|1589|1900900000|MAY2019|2019-05
PLUS - LOCAL|05/31/2019|142|164500000|MAY2019|2019-05
PLUS - INTERNATIONAL|05/31/2019|2621|3680700000|MAY2019|2019-05
CIRRUS MASTER NON ISIS|05/31/2019|5331|6793550000|MAY2019|2019-05
CIRRUS MASTER ISIS|05/31/2019|861|1008250000|MAY2019|2019-05
VISA - LOCAL|06/01/2019|44|47200000|JUN2019|2019-06
VISA - INTERNATIONAL|06/01/2019|1534|1801750000|JUN2019|2019-06
PLUS - LOCAL|06/01/2019|127|131800000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/01/2019|2612|3252750000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/01/2019|2754|3472050000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/01/2019|414|552900000|JUN2019|2019-06
VISA - LOCAL|06/02/2019|36|42700000|JUN2019|2019-06
VISA - INTERNATIONAL|06/02/2019|1482|1622600000|JUN2019|2019-06
PLUS - LOCAL|06/02/2019|96|91700000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/02/2019|2399|2851500000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/02/2019|2529|3075850000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/02/2019|376|409350000|JUN2019|2019-06
VISA - LOCAL|06/03/2019|44|49000000|JUN2019|2019-06
VISA - INTERNATIONAL|06/03/2019|1524|1745450000|JUN2019|2019-06
PLUS - LOCAL|06/03/2019|164|153900000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/03/2019|2689|3301450000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/03/2019|8096|0|JUN2019|2019-06
CIRRUS MASTER ISIS|06/03/2019|1293|1541150000|JUN2019|2019-06
VISA - LOCAL|06/04/2019|47|50300000|JUN2019|2019-06
VISA - INTERNATIONAL|06/04/2019|1489|1711950000|JUN2019|2019-06
PLUS - LOCAL|06/04/2019|156|171950000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/04/2019|2535|3107550000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/04/2019|2801|3484600000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/04/2019|501|574400000|JUN2019|2019-06
VISA - LOCAL|06/05/2019|24|31300000|JUN2019|2019-06
VISA - INTERNATIONAL|06/05/2019|1323|1407050000|JUN2019|2019-06
PLUS - LOCAL|06/05/2019|71|57200000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/05/2019|1749|2016700000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/05/2019|2275|2498300000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/05/2019|227|263650000|JUN2019|2019-06
VISA - LOCAL|06/06/2019|35|29250000|JUN2019|2019-06
VISA - INTERNATIONAL|06/06/2019|1480|1571600000|JUN2019|2019-06
PLUS - LOCAL|06/06/2019|99|106700000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/06/2019|2177|2513850000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/06/2019|2835|3321600000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/06/2019|316|355900000|JUN2019|2019-06
VISA - LOCAL|06/07/2019|31|33000000|JUN2019|2019-06
VISA - INTERNATIONAL|06/07/2019|1585|1756100000|JUN2019|2019-06
PLUS - LOCAL|06/07/2019|140|135500000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/07/2019|2309|2769300000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/07/2019|0|0|JUN2019|2019-06
CIRRUS MASTER ISIS|06/07/2019|1410|1597700000|JUN2019|2019-06
VISA - LOCAL|06/08/2019|31|26050000|JUN2019|2019-06
VISA - INTERNATIONAL|06/08/2019|1609|1802350000|JUN2019|2019-06
PLUS - LOCAL|06/08/2019|147|128800000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/08/2019|2411|2889200000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/08/2019|2652|3150000000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/08/2019|427|449500000|JUN2019|2019-06
VISA - LOCAL|06/09/2019|45|46100000|JUN2019|2019-06
VISA - INTERNATIONAL|06/09/2019|1522|1648500000|JUN2019|2019-06
PLUS - LOCAL|06/09/2019|152|144250000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/09/2019|2400|2710300000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/09/2019|2705|3061150000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/09/2019|419|449000000|JUN2019|2019-06
VISA - LOCAL|06/10/2019|48|59450000|JUN2019|2019-06
VISA - INTERNATIONAL|06/10/2019|1720|2072200000|JUN2019|2019-06
PLUS - LOCAL|06/10/2019|209|244250000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/10/2019|2795|3557900000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/10/2019|8205|9684700000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/10/2019|1418|1553450000|JUN2019|2019-06
VISA - LOCAL|06/11/2019|55|63650000|JUN2019|2019-06
VISA - INTERNATIONAL|06/11/2019|2140|2851250000|JUN2019|2019-06
PLUS - LOCAL|06/11/2019|191|198950000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/11/2019|2667|3365750000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/11/2019|2792|3281250000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/11/2019|564|642000000|JUN2019|2019-06
VISA - LOCAL|06/12/2019|47|46900000|JUN2019|2019-06
VISA - INTERNATIONAL|06/12/2019|1779|2214500000|JUN2019|2019-06
PLUS - LOCAL|06/12/2019|169|191950000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/12/2019|2578|3267650000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/12/2019|2738|3290550000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/12/2019|439|493350000|JUN2019|2019-06
VISA - LOCAL|06/13/2019|37|41800000|JUN2019|2019-06
VISA - INTERNATIONAL|06/13/2019|1686|1944200000|JUN2019|2019-06
PLUS - LOCAL|06/13/2019|173|184150000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/13/2019|2521|3053800000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/13/2019|2815|3446650000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/13/2019|506|536600000|JUN2019|2019-06
VISA - LOCAL|06/14/2019|50|50550000|JUN2019|2019-06
VISA - INTERNATIONAL|06/14/2019|1615|1896050000|JUN2019|2019-06
PLUS - LOCAL|06/14/2019|168|163900000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/14/2019|2515|3060980000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/14/2019|2640|3287550000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/14/2019|514|538800000|JUN2019|2019-06
VISA - LOCAL|06/15/2019|52|46000000|JUN2019|2019-06
VISA - INTERNATIONAL|06/15/2019|1802|1931550000|JUN2019|2019-06
PLUS - LOCAL|06/15/2019|148|129950000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/15/2019|2495|2832500000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/15/2019|2898|3241900000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/15/2019|502|481900000|JUN2019|2019-06
VISA - LOCAL|06/16/2019|62|64150000|JUN2019|2019-06
VISA - INTERNATIONAL|06/16/2019|1594|1748400000|JUN2019|2019-06
PLUS - LOCAL|06/16/2019|151|129700000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/16/2019|2323|2524850000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/16/2019|3355|3691750000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/16/2019|479|418500000|JUN2019|2019-06
VISA - LOCAL|06/17/2019|38|46000000|JUN2019|2019-06
VISA - INTERNATIONAL|06/17/2019|1724|1913950000|JUN2019|2019-06
PLUS - LOCAL|06/17/2019|157|141400000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/17/2019|2563|3154700000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/17/2019|9243|0|JUN2019|2019-06
CIRRUS MASTER ISIS|06/17/2019|1466|1405050000|JUN2019|2019-06
VISA - LOCAL|06/18/2019|51|46600000|JUN2019|2019-06
VISA - INTERNATIONAL|06/18/2019|1520|1690750000|JUN2019|2019-06
PLUS - LOCAL|06/18/2019|155|174700000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/18/2019|2352|2747900000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/18/2019|2577|2974800000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/18/2019|491|512800000|JUN2019|2019-06
VISA - LOCAL|06/19/2019|61|59800000|JUN2019|2019-06
VISA - INTERNATIONAL|06/19/2019|1581|1832100000|JUN2019|2019-06
PLUS - LOCAL|06/19/2019|143|141000000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/19/2019|2369|2834100000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/19/2019|2636|3204800000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/19/2019|487|515950000|JUN2019|2019-06
VISA - LOCAL|06/20/2019|62|61450000|JUN2019|2019-06
VISA - INTERNATIONAL|06/20/2019|1874|2151550000|JUN2019|2019-06
PLUS - LOCAL|06/20/2019|177|212550000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/20/2019|2585|3062600000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/20/2019|2937|3563900000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/20/2019|546|553600000|JUN2019|2019-06
VISA - LOCAL|06/21/2019|48|50950000|JUN2019|2019-06
VISA - INTERNATIONAL|06/21/2019|1756|1942000000|JUN2019|2019-06
PLUS - LOCAL|06/21/2019|161|149050000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/21/2019|2626|3094100000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/21/2019|2967|3527500000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/21/2019|511|487750000|JUN2019|2019-06
VISA - LOCAL|06/22/2019|52|51300000|JUN2019|2019-06
VISA - INTERNATIONAL|06/22/2019|1750|1890150000|JUN2019|2019-06
PLUS - LOCAL|06/22/2019|187|166900000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/22/2019|2823|3149550000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/22/2019|2944|3378600000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/22/2019|509|491100000|JUN2019|2019-06
VISA - LOCAL|06/23/2019|47|32700000|JUN2019|2019-06
VISA - INTERNATIONAL|06/23/2019|1737|1830600000|JUN2019|2019-06
PLUS - LOCAL|06/23/2019|136|122850000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/23/2019|2572|2713000000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/23/2019|2682|3000200000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/23/2019|450|396350000|JUN2019|2019-06
VISA - LOCAL|06/24/2019|51|51750000|JUN2019|2019-06
VISA - INTERNATIONAL|06/24/2019|1891|2061150000|JUN2019|2019-06
PLUS - LOCAL|06/24/2019|160|150900000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/24/2019|2574|3037650000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/24/2019|8629|0|JUN2019|2019-06
CIRRUS MASTER ISIS|06/24/2019|1444|1329450000|JUN2019|2019-06
VISA - LOCAL|06/25/2019|52|58900000|JUN2019|2019-06
VISA - INTERNATIONAL|06/25/2019|1771|2036300000|JUN2019|2019-06
PLUS - LOCAL|06/25/2019|145|152650000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/25/2019|2561|3153200000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/25/2019|2929|3562300000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/25/2019|422|460150000|JUN2019|2019-06
VISA - LOCAL|06/26/2019|47|58800000|JUN2019|2019-06
VISA - INTERNATIONAL|06/26/2019|1884|2157550000|JUN2019|2019-06
PLUS - LOCAL|06/26/2019|124|128400000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/26/2019|2604|3173150000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/26/2019|3173|3856650000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/26/2019|389|408800000|JUN2019|2019-06
VISA - LOCAL|06/27/2019|61|75950000|JUN2019|2019-06
VISA - INTERNATIONAL|06/27/2019|1881|2165650000|JUN2019|2019-06
PLUS - LOCAL|06/27/2019|144|131950000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/27/2019|2603|3138100000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/27/2019|3139|3727250000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/27/2019|415|483850000|JUN2019|2019-06
VISA - LOCAL|06/28/2019|46|50550000|JUN2019|2019-06
VISA - INTERNATIONAL|06/28/2019|1700|1901800000|JUN2019|2019-06
PLUS - LOCAL|06/28/2019|140|159450000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/28/2019|2605|3408400000|JUN2019|2019-06
CIRRUS MASTER NON ISIS|06/28/2019|3136|3833850000|JUN2019|2019-06
CIRRUS MASTER ISIS|06/28/2019|432|498500000|JUN2019|2019-06
VISA - LOCAL|06/29/2019|38|40800000|JUN2019|2019-06
VISA - INTERNATIONAL|06/29/2019|1760|2043650000|JUN2019|2019-06
PLUS - LOCAL|06/29/2019|155|184050000|JUN2019|2019-06
PLUS - INTERNATIONAL|06/29/2019|2516|3101600000|JUN2019|2019-06
