jnstrans|date|txn|idr|bln|mth
CIRRUS MASTER NON ISIS|01/17/2019|2180|2772550000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/17/2019|516|488750000|JAN2019|2019-01
VISA - LOCAL|01/18/2019|51|60550000|JAN2019|2019-01
VISA - INTERNATIONAL|01/18/2019|1329|1561500000|JAN2019|2019-01
PLUS - LOCAL|01/18/2019|227|211350000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/18/2019|2251|2535200000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/18/2019|2266|2919600000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/18/2019|552|527300000|JAN2019|2019-01
VISA - LOCAL|01/19/2019|55|59150000|JAN2019|2019-01
VISA - INTERNATIONAL|01/19/2019|1297|1492800000|JAN2019|2019-01
PLUS - LOCAL|01/19/2019|230|230100000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/19/2019|2487|2750950000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/19/2019|2131|2480650000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/19/2019|630|570600000|JAN2019|2019-01
VISA - LOCAL|01/20/2019|40|41500000|JAN2019|2019-01
VISA - INTERNATIONAL|01/20/2019|1221|1321600000|JAN2019|2019-01
PLUS - LOCAL|01/20/2019|223|217600000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/20/2019|2183|2146750000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/20/2019|1959|2252350000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/20/2019|580|498150000|JAN2019|2019-01
VISA - LOCAL|01/21/2019|49|52450000|JAN2019|2019-01
VISA - INTERNATIONAL|01/21/2019|1104|1335850000|JAN2019|2019-01
PLUS - LOCAL|01/21/2019|207|202950000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/21/2019|2197|2569650000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/21/2019|6133|7289600000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/21/2019|1812|1614150000|JAN2019|2019-01
VISA - LOCAL|01/22/2019|42|36900000|JAN2019|2019-01
VISA - INTERNATIONAL|01/22/2019|1399|1694950000|JAN2019|2019-01
PLUS - LOCAL|01/22/2019|188|182150000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/22/2019|2123|2411750000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/22/2019|2054|2547500000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/22/2019|529|449300000|JAN2019|2019-01
VISA - LOCAL|01/23/2019|41|29250000|JAN2019|2019-01
VISA - INTERNATIONAL|01/23/2019|1307|1529450000|JAN2019|2019-01
PLUS - LOCAL|01/23/2019|181|139200000|JAN2019|2019-01
