date|usermb|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
05/23/2019|17405445|6029192|1144316|0|24200|169078|0|185357|3504481|0|0|0|6.284711E12|4000|30959|187003077404.00|11659252500.00|0.00|0.00|0.00|11032424|6483373316581.00|4000|30959|MAY2019|2019-05
05/24/2019|17425816|7522247|1501773|0|24781|212689|0|198299|4174464|0|0|0|7.476495E12|840|19412|273004704051.00|12520239000.00|0.00|0.00|0.00|13609472|7762019933728.00|840|19412|MAY2019|2019-05
05/25/2019|17430268|5800003|1067153|0|7079|184908|0|190482|3644335|0|0|0|6.0038786E12|2190|9400|196784991263.00|12271145000.00|0.00|0.00|0.00|10886881|6212934753965.00|2190|9400|MAY2019|2019-05
05/26/2019|17433332|4271198|719321|0|4879|149054|0|175953|2860168|0|0|0|3.8622992E12|2326|11592|134590797847.00|11644735500.00|0.00|0.00|0.00|8175694|4008534722373.00|2326|11592|MAY2019|2019-05
05/27/2019|17456407|6356022|1142534|0|26645|186359|0|210677|3903925|0|0|0|7.6827675E12|10885|28272|232922853489.00|13508882000.00|0.00|0.00|0.00|11799517|7929199189989.00|10885|28272|MAY2019|2019-05
05/28/2019|17478991|7553880|1336201|0|27481|203663|0|215419|4041102|0|0|0|7.8622547E12|6708|33962|255459061963.00|14099817500.00|0.00|0.00|0.00|13350265|8131813603295.00|6708|33962|MAY2019|2019-05
05/29/2019|17501311|7244284|1395571|0|27133|201072|0|229406|4278587|0|0|0|8.2010098E12|8714|18394|235686915441.00|14919186000.00|0.00|0.00|0.00|13348920|8451615938702.00|8714|18394|MAY2019|2019-05
05/30/2019|17505020|5195946|927201|0|6316|166154|0|207750|3345117|0|0|0|5.4080359E12|950|11146|147103605383.00|13750441000.00|0.00|0.00|0.00|9842168|5568889936767.00|950|11146|MAY2019|2019-05
05/31/2019|17529883|6024920|1125145|0|28569|190047|0|227483|3759929|0|0|0|7.1334552E12|5700|61716|198444365195.00|14968368500.00|0.00|0.00|0.00|11327524|7346867968448.00|5700|61716|MAY2019|2019-05
06/01/2019|17533167|4996016|559250|0|5588|191829|0|211932|3169693|0|0|0|5.1562973E12|8550|12046|162078430768.00|14277907000.00|0.00|0.00|0.00|9128720|5332653676133.00|8550|12046|JUN2019|2019-06
06/02/2019|17535880|4074750|692943|0|4274|151618|0|194678|2562690|0|0|0|3.5741242E12|1437|17625|119730620505.00|13196816500.00|0.00|0.00|0.00|7676679|3707051674485.00|1437|17625|JUN2019|2019-06
06/03/2019|17544275|4198726|692900|0|10179|173288|0|204547|2688166|0|0|0|4.0986108E12|4120|7973|150920306114.00|13638875000.00|0.00|0.00|0.00|7957627|4263169962360.00|4120|7973|JUN2019|2019-06
06/04/2019|17546241|3588531|549012|0|3122|162216|0|209020|2286419|0|0|0|2.983336E12|150|4320|145185449929.00|13876526000.00|0.00|0.00|0.00|6795198|3142398004103.00|150|4320|JUN2019|2019-06
06/05/2019|17547324|2217688|317536|0|1736|141307|0|206577|1411165|0|0|0|1.433137E12|0|670|114786596078.00|13555368500.00|0.00|0.00|0.00|4294273|1561479000786.00|0|670|JUN2019|2019-06
06/06/2019|17548605|2326702|330347|0|2026|125537|0|186270|1507796|0|0|0|1.4706298E12|600|320|95003698438.00|12474448000.00|0.00|0.00|0.00|4476652|1578107973716.00|600|320|JUN2019|2019-06
06/07/2019|17550086|2542177|367686|0|2169|140556|0|180910|1693077|0|0|0|1.7877652E12|320|0|108161818687.00|12058455500.00|0.00|0.00|0.00|4924406|1907985434853.00|320|0|JUN2019|2019-06
06/08/2019|17552176|2638551|376795|0|2899|138030|0|178430|1827422|0|0|0|1.8954311E12|1800|0|108181568562.00|11722100000.00|0.00|0.00|0.00|5159228|2015334808237.00|1800|0|JUN2019|2019-06
06/09/2019|17554076|2703221|393218|0|2693|144682|0|171554|1873086|0|0|0|1.9612637E12|1100|0|102893043230.00|11260738500.00|0.00|0.00|0.00|5285761|2075417492684.00|1100|0|JUN2019|2019-06
06/10/2019|17579392|4110228|684897|0|27763|207475|0|194718|2712606|0|0|0|4.4804734E12|50|50613|207954386886.00|12494821000.00|0.00|0.00|0.00|7909924|4700922589576.00|50|50613|JUN2019|2019-06
06/11/2019|17604084|3968897|665707|0|27990|192745|0|185228|2734705|0|0|0|4.5373178E12|3600|29915|185179776829.00|11919990500.00|0.00|0.00|0.00|7747282|4734417523681.00|3600|29915|JUN2019|2019-06
06/12/2019|17625197|3936428|666832|0|24543|180219|0|189129|2756921|0|0|0|4.5477373E12|113|31047|163426039898.00|12416541000.00|0.00|0.00|0.00|7729529|4723579895866.00|113|31047|JUN2019|2019-06
06/13/2019|17645832|3943429|664082|0|24109|163708|0|183284|2804004|0|0|0|4.7436489E12|0|28485|145892477126.00|11801030500.00|0.00|0.00|0.00|7758507|4901342405151.00|0|28485|JUN2019|2019-06
06/14/2019|17665418|4115430|681280|0|22974|161356|0|183350|2906773|0|0|0|4.9275071E12|485|14834|146034639894.00|11866632500.00|0.00|0.00|0.00|8048189|5085408325708.00|485|14834|JUN2019|2019-06
06/15/2019|17668788|3665047|573454|0|5497|144317|0|173402|2735571|0|0|0|3.9332081E12|0|10188|106729207192.00|11262268000.00|0.00|0.00|0.00|7291791|4051199564993.00|0|10188|JUN2019|2019-06
06/16/2019|17671040|3025360|458300|0|3690|124375|0|157635|2253310|0|0|0|2.6093222E12|0|5466|83688466600.00|10472474000.00|0.00|0.00|0.00|6018980|2703483109001.00|0|5466|JUN2019|2019-06
06/17/2019|17692362|4288457|725641|0|24117|168226|0|189412|3045911|0|0|0|5.65853E12|220|22200|162091461558.00|12150534000.00|0.00|0.00|0.00|8417647|5832771966455.00|220|22200|JUN2019|2019-06
06/18/2019|17711373|4201675|712682|0|22095|171623|0|166961|3031950|0|0|0|5.4773051E12|4637|40895|165264000553.00|10737691500.00|0.00|0.00|0.00|8284891|5653306765290.00|4637|40895|JUN2019|2019-06
06/19/2019|17730037|4110902|690241|0|21839|186185|0|190740|3039962|0|0|0|5.2752477E12|2600|42787|183081621385.00|12496960000.00|0.00|0.00|0.00|8218030|5470826265051.00|2600|42787|JUN2019|2019-06
06/20/2019|17747847|4245495|710145|0|20900|224801|0|184515|3024491|0|0|0|5.3395465E12|1289|67150|215056841068.00|12012966000.00|0.00|0.00|0.00|8389447|5566616264685.00|1289|67150|JUN2019|2019-06
