jnstrans|date|tunai|cashadv|ceksaldo|payment|berhasil|seluruh|Ntunai|Ncashadv|Nceksaldo|Npayment|Nberhasil|Nseluruh|bln|mth
TRANSAKSI ATM DAN ATMKIOS BCA|02/21/2019|0|0|26158|6532|32690|33883|0|0|0|21162727137.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/22/2019|0|0|26629|5906|32535|33737|0|0|0|17789563846.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/23/2019|0|0|21343|3519|24862|25718|0|0|0|7551914075.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/24/2019|0|0|14824|2639|17463|18141|0|0|0|5448984972.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/25/2019|0|0|35952|8245|44197|45660|0|0|0|21224518220.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/26/2019|0|0|32548|7474|40022|41352|0|0|0|22853764540.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/27/2019|0|0|34094|7255|41349|42794|0|0|0|20238006311.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|02/28/2019|0|0|50364|10528|60892|63025|0|0|0|25262737478.00|0.00|0.00|FEB2019|2019-02
TRANSAKSI ATM DAN ATMKIOS BCA|03/01/2019|0|0|44163|10155|54318|56216|0|0|0|24239022958.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/02/2019|0|0|30644|6719|37363|38628|0|0|0|12477095949.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/03/2019|0|0|17963|4176|22139|22893|0|0|0|8448789495.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/04/2019|0|0|39498|12850|52348|54111|0|0|0|27392995809.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/05/2019|0|0|34773|11536|46309|47788|0|0|0|26457031750.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/06/2019|0|0|31050|9885|40935|42303|0|0|0|20962902226.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/07/2019|0|0|18578|4911|23489|24235|0|0|0|8480817503.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/08/2019|0|0|35128|10780|45908|47386|0|0|0|22376023948.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/09/2019|0|0|22170|5376|27546|28402|0|0|0|8430310006.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/10/2019|0|0|16107|4172|20279|20955|0|0|0|6708523068.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/11/2019|0|0|33626|10172|43798|45250|0|0|0|19618571861.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/12/2019|0|0|29386|8330|37716|38927|0|0|0|20160293195.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/13/2019|0|0|27264|7124|34388|35433|0|0|0|14763185519.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/14/2019|0|0|26677|6657|33334|34426|0|0|0|13892500638.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/15/2019|0|0|28467|7014|35481|36599|0|0|0|14809801429.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/16/2019|0|0|21294|3931|25225|26034|0|0|0|6663771145.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/17/2019|0|0|13497|2719|16216|16801|0|0|0|5126728357.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/18/2019|0|0|30002|9196|39198|40473|0|0|0|23291425322.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/19/2019|0|0|27083|9607|36690|37874|0|0|0|26773689978.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/20/2019|0|0|28015|11373|39388|40637|0|0|0|26067473752.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/21/2019|0|0|24905|5550|30455|31485|0|0|0|16525877192.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/22/2019|0|0|26047|5341|31388|32442|0|0|0|13001207766.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/23/2019|0|0|20416|3321|23737|24546|0|0|0|7652435799.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/24/2019|0|0|13541|2330|15871|16482|0|0|0|4918201376.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/25/2019|0|0|32989|7482|40471|41867|0|0|0|19870497716.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/26/2019|0|0|29053|6536|35589|36762|0|0|0|19874415991.00|0.00|0.00|MAR2019|2019-03
