jnstrans|date|CASHOUT|COIDR|CASHIN|CIIDR|bln|mth
TELLER - NON PINPAD|04/20/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/21/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/21/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/22/2019|300|28346896398|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/22/2019|164148|30132784826087|580859|34012624708479|APR2019|2019-04
TELLER - PINPAD|04/23/2019|71206|7979851511669|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/23/2019|118372|26409346991175|409096|24199943149096|APR2019|2019-04
TELLER - PINPAD|04/24/2019|63008|7166498337042|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/24/2019|105148|22563271693553|356093|21918381231021|APR2019|2019-04
TELLER - PINPAD|04/25/2019|71910|7423285577913|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/25/2019|116507|25486836694245|405308|23254828494284|APR2019|2019-04
TELLER - PINPAD|04/26/2019|80054|8404647160838|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/26/2019|130809|26010800633640|458917|24169367223302|APR2019|2019-04
TELLER - PINPAD|04/27/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/27/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/28/2019|0|0|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/28/2019|0|0|0|0|APR2019|2019-04
TELLER - PINPAD|04/29/2019|2341|246568462667|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/29/2019|163128|35879401725490|575343|35181020442083|APR2019|2019-04
TELLER - PINPAD|04/30/2019|1327|145049674610|0|0|APR2019|2019-04
TELLER - NON PINPAD|04/30/2019|171169|37142427813652|602342|33064438786258|APR2019|2019-04
TELLER - PINPAD|05/01/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/01/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/02/2019|86306|9199659111884|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/02/2019|123934|25356802046262|479173|26362028080127|MAY2019|2019-05
TELLER - PINPAD|05/03/2019|57527|6636516277890|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/03/2019|119468|26362035814755|406540|23417446566493|MAY2019|2019-05
TELLER - PINPAD|05/04/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/04/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/05/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/05/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/06/2019|839|103918125346|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/06/2019|151516|26303999470638|553822|30376574128315|MAY2019|2019-05
TELLER - PINPAD|05/07/2019|75095|8401881243427|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/07/2019|116106|24618688923162|428801|22826779751401|MAY2019|2019-05
TELLER - PINPAD|05/08/2019|68831|7688696085480|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/08/2019|110875|21158793528489|394095|20029280409856|MAY2019|2019-05
TELLER - PINPAD|05/09/2019|66993|7166167700609|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/09/2019|106255|20728478129185|380824|20753373394884|MAY2019|2019-05
TELLER - PINPAD|05/10/2019|78962|8478977944552|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/10/2019|134580|25431164892549|458307|23848100110185|MAY2019|2019-05
TELLER - PINPAD|05/11/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/11/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/12/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/12/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/13/2019|90663|9977744842587|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/13/2019|144355|26820244588576|524911|28179848598740|MAY2019|2019-05
TELLER - PINPAD|05/14/2019|77764|8231884702541|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/14/2019|114186|23874120617647|399296|22344778723681|MAY2019|2019-05
TELLER - PINPAD|05/15/2019|74749|8126951817166|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/15/2019|120376|23266086195795|395642|21798096160360|MAY2019|2019-05
TELLER - PINPAD|05/16/2019|73385|7833171022888|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/16/2019|105322|21271911879890|354174|20745839224048|MAY2019|2019-05
TELLER - PINPAD|05/17/2019|85650|8750902541863|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/17/2019|123395|25988966123448|412203|22895238165234|MAY2019|2019-05
TELLER - PINPAD|05/18/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/18/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/19/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/19/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/20/2019|6266|651348390423|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/20/2019|159611|29563407461124|547633|30367437814583|MAY2019|2019-05
TELLER - PINPAD|05/21/2019|86213|9071207760120|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/21/2019|119983|27646894441352|420955|24737824657530|MAY2019|2019-05
TELLER - PINPAD|05/22/2019|76033|7392504129858|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/22/2019|98017|20560029952966|357495|21386103395786|MAY2019|2019-05
TELLER - PINPAD|05/23/2019|83700|8014615160522|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/23/2019|106474|24661130470736|369046|22292308610769|MAY2019|2019-05
TELLER - PINPAD|05/24/2019|102506|9798801730353|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/24/2019|137705|31861630854713|507608|28389959364084|MAY2019|2019-05
TELLER - PINPAD|05/25/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/25/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/26/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/26/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/27/2019|21231|2223542896997|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/27/2019|178815|35796795801643|635066|36502212549320|MAY2019|2019-05
TELLER - PINPAD|05/28/2019|14589|1381232321879|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/28/2019|149357|36658727236039|553183|32584735335168|MAY2019|2019-05
TELLER - PINPAD|05/29/2019|20493|2204195887996|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/29/2019|154224|40281200920623|581891|32130754630930|MAY2019|2019-05
TELLER - PINPAD|05/30/2019|0|0|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/30/2019|0|0|0|0|MAY2019|2019-05
TELLER - PINPAD|05/31/2019|4397|519743537271|0|0|MAY2019|2019-05
TELLER - NON PINPAD|05/31/2019|137070|26414136405351|519345|29227087943878|MAY2019|2019-05
TELLER - PINPAD|06/01/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/01/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/02/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/02/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/03/2019|20023|2149530249504|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/03/2019|17734|1829266806490|144283|10138511320839|JUN2019|2019-06
TELLER - PINPAD|06/04/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/04/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/05/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/05/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/06/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/06/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/07/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/07/2019|121|405166518|1400|705431903442|JUN2019|2019-06
TELLER - PINPAD|06/08/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/08/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/09/2019|0|0|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/09/2019|0|0|0|0|JUN2019|2019-06
TELLER - PINPAD|06/10/2019|59425|6672411255114|0|0|JUN2019|2019-06
TELLER - NON PINPAD|06/10/2019|145827|31808721903899|505307|31007226267816|JUN2019|2019-06
TELLER - PINPAD|06/11/2019|51584|5835629712648|0|0|JUN2019|2019-06
